;word;availability;prob
0;awopsr;unknown;0.5042993553648897
1;adewet;unknown;0.5630076797735301
2;alulab;unknown;0.3758765430599248
3;acnife;unknown;0.6097777614488441
4;aftuse;unknown;0.3782795876183521
5;aideci;unknown;0.6586076336595833
6;asneil;unknown;0.4146726868930032
7;aniati;unknown;0.594618635911885
8;atsupu;unknown;0.4035704726677477
9;ahtsum;unknown;0.52447268091488
10;anohgi;unknown;0.487165354936692
11;anahre;unknown;0.5284181715353379
12;ademmo;unknown;0.6319502976095607
13;alfral;unknown;0.30415757080812433
14;arcopm;unknown;0.2958201095131434
15;anopma;unknown;0.4383135614881682
16;acsdin;unknown;0.237207533591454
17;anisdn;unknown;0.603481489052147
18;abohtn;unknown;0.5230191932834001
19;aidilp;unknown;0.3183359782792732
20;anupal;unknown;0.3188760786642563
21;aconel;unknown;0.4228504878360044
22;adahca;unknown;0.3963218299296976
23;asaduo;unknown;0.28829094889271734
24;acdero;unknown;0.6468566505771961
25;aenena;unknown;0.5259076481828393
26;acatre;unknown;0.5775807106739811
27;adnisr;unknown;0.6200661155524326
28;apaict;unknown;0.21370588766690093
29;amrgna;unknown;0.750840397309096
30;afelli;unknown;0.3786106579700965
31;anifol;unknown;0.5078348763234121
32;apuqet;unknown;0.562604504011939
33;awocni;unknown;0.8375310967796183
34;adihcs;unknown;0.2916226850939938
35;aboree;unknown;0.5084081572990691
36;agopah;unknown;0.2648715154079335
37;asreru;unknown;0.5612029063670994
38;arcnil;unknown;0.6385392517564974
39;amoith;unknown;0.5202426490439113
40;asuoht;unknown;0.5127829852834702
41;ahcrac;unknown;0.37594860115621276
42;asgnaf;unknown;0.6714479402466003
43;abehwr;unknown;0.1679508036387895
44;adepxe;unknown;1.181139028528754
45;ameruq;unknown;0.4415105769050558
46;amirta;unknown;0.4929084908796375
47;aspedd;unknown;0.1536470705412069
48;aeemsu;unknown;0.24819168693202093
49;arosee;unknown;0.4693552360555928
50;apmuog;unknown;0.3678397469832516
51;abamit;unknown;0.5337545084171523
52;alelne;unknown;0.45086182817873005
53;abmais;unknown;0.2522102034495789
54;aeraah;unknown;0.3934181490713429
55;aecevi;unknown;0.6487449578546087
56;aerulc;unknown;0.3822435366531121
57;athpxe;unknown;0.960788300122335
58;aevehw;unknown;0.4209842893492305
59;ainuse;unknown;0.43174628258116043
60;ataltu;unknown;0.37470860622680713
61;atsirp;unknown;0.48781384441901854
62;ataeub;unknown;0.3949169414287468
63;anrgev;unknown;0.2044042798468098
64;afesni;unknown;0.5629109724440924
65;auhpam;unknown;0.2578401348282733
66;anakct;unknown;0.4802606553764942
67;axoroc;unknown;0.4283007350164625
68;aetfor;unknown;0.36858058414297
69;aplpsl;unknown;0.19499513118325318
70;anutne;unknown;0.49292767837629986
71;arecil;unknown;0.6886029008498786
72;adarrc;unknown;0.23288834719666932
73;atsrtn;unknown;0.5377482537943423
74;atugno;unknown;0.7947095134522346
75;avifar;unknown;0.4954214366682528
76;aneire;unknown;0.6228061439629741
77;acaloc;unknown;0.4286538358868777
78;animre;unknown;0.7150455842695347
79;aeropi;unknown;0.42383945848562254
80;ahsnop;unknown;0.4687194288608942
81;attnez;unknown;0.44062418352340216
82;alafoc;unknown;0.4649256371734725
83;arehsw;unknown;0.5229887946515981
84;alevrg;unknown;0.35898020018757404
85;alaeru;unknown;0.5584094603837442
86;adehsi;unknown;0.6007204545029547
87;ammisd;unknown;0.3153238530199867
88;anergn;unknown;0.8584384594254758
89;aecite;unknown;0.5390672976452586
90;amujat;unknown;0.3166673982626558
91;ahpumi;unknown;0.30847940048368944
92;ammlla;unknown;0.4192346885727549
93;alleno;unknown;0.5363840226853973
94;agnire;unknown;1.1408688622920358
95;anotap;unknown;0.4880088826035238
96;allein;unknown;0.37385868107165876
97;aevala;unknown;0.5204530575359759
98;arefuj;unknown;0.38395751031729686
99;atosmo;unknown;0.3633838011676192
